ID,Date,user_id,comments
15,May 2018,Michaell,"kyfdx said:
If the price is right, it could work, but you can guarantee it will be more than doing it on your own.

But, I think it's imperative that it's your only vehicle. Might work best for someone that doesn't already own a car or house (that already gets multi-line insurance discounts).
Which raises an interesting point - if you are on the subscription program, and get into multiple accidents that are deemed to be your fault, can the insurance company raise the premium and/or cancel your policy, therefore nulling out the subscription?

Or, is the insurance company on the hook for a fixed insurance premium?

Could be an advantage if you have great credit and income, but are a lousy driver.
Edmunds Price Checker
Edmunds Lease Calculator
Did you get a good deal? Be sure to come back and let us know! Post a pic of your new purchase or lease!


MODERATOR

2015 Subaru Outback 3.6R / 2024 Kia Sportage Hybrid SX Prestige"
16,May 2018,kyfdx,"Until you turn it in, and find you are ineligible for insurance.
Edmunds Price Checker
Edmunds Lease Calculator
Did you get a good deal? Be sure to come back and share!

Edmunds Moderator"
17,May 2018,Mr_Shiftright,Insurance companies will always find a way to stick the knife in.
18,May 2018,kyfdx,"Car insurance is like health insurance. Companies want new customers to be able to show that they've been continuously covered. Gaps are a no-no.
Edmunds Price Checker
Edmunds Lease Calculator
Did you get a good deal? Be sure to come back and share!

Edmunds Moderator"
19,May 2018,turbo_v6,"Thanks for the post and the info, car subscription can be so pricey at lease to me."
20,May 2018,storm10,"To me, someone has changed word ""subscription"" from the word ""rent"". It's a classic rent a car. When you purchase or lease - you are the first and only owner of the car. So you don't have to worry about bacteria from the previous, possibly sick people, holding the steering wheel, or who knows what else happened in this car. I wouldn't want my baby sitting in the car-seat after someone just smoked in it. Plus the performance of the car will be on a par with any typical rental car, when 20 previous people drove it differently and the axles are about to collapse. Plus you have to be insane to pay $4k per month for Mercedes... when you can easily lease it for $400. Am I missing something??"
21,June 2018,qbrozen,"I doubt used ones are included.

And what example are you referring to when comparing $4k to $400? Pretty sure that doesn't exist.
'11 GMC Sierra 1500; '98 Alfa 156 2.0TS; '08 Maser QP; '67 Coronet R/T; '13 Fiat 500c; '20 S90 T6; '22 MB Sprinter 2500 4x4 diesel; '97 Suzuki R Wagon; '96 Opel Astra; '11 Mini Cooper S"
22,June 2018,Mr_Shiftright,I think Mercedes subscription service is just getting under way--I haven't seen any numbers yet.
23,June 2018,leroy111,I rather just stay with a lease it isn't worth the bother to have to switch cars when they decide
24,June 2018,qbrozen,"? Not sure what you mean ""when they decide."" You sign for a specific term, just like with a lease.
'11 GMC Sierra 1500; '98 Alfa 156 2.0TS; '08 Maser QP; '67 Coronet R/T; '13 Fiat 500c; '20 S90 T6; '22 MB Sprinter 2500 4x4 diesel; '97 Suzuki R Wagon; '96 Opel Astra; '11 Mini Cooper S"
25,June 2018,clawsoncars,"Subscription could work great depending on the market they are advertising to... Maybe companies might find the best use out of these subscriptions?
https://clawsontruckcenter.com"
26,June 2018,idrachman,What is an range of discounts (%) that you've heard of for a Macan base model? One dealer was offering only just about 5%. Thx.
27,June 2018,qbrozen,"Just for kicks, I downloaded the Care by Volvo app. When I click on the Xc40 T5 Momentum, it comes back with $650/mo. Did they already raise the price before even getting this off the ground?
'11 GMC Sierra 1500; '98 Alfa 156 2.0TS; '08 Maser QP; '67 Coronet R/T; '13 Fiat 500c; '20 S90 T6; '22 MB Sprinter 2500 4x4 diesel; '97 Suzuki R Wagon; '96 Opel Astra; '11 Mini Cooper S"
28,June 2018,Michaell,"qbrozen said:
Just for kicks, I downloaded the Care by Volvo app. When I click on the Xc40 T5 Momentum, it comes back with $650/mo. Did they already raise the price before even getting this off the ground?
Apparently. Somebody mentioned it in the XC40 lease thread.
Edmunds Price Checker
Edmunds Lease Calculator
Did you get a good deal? Be sure to come back and let us know! Post a pic of your new purchase or lease!


MODERATOR

2015 Subaru Outback 3.6R / 2024 Kia Sportage Hybrid SX Prestige"
29,June 2018,Mr_Shiftright,Almost $8K per year. I suppose there are lease payments that commonly equal that.
30,June 2018,Michaell,"Mr_Shiftright said:
Almost $8K per year. I suppose there are lease payments that commonly equal that.
Easily. But, those payments would be on a car with a substantially higher MSRP than the XC40.

If you use the 1% guideline, you're looking at cars in the $60-70K price bracket.
Edmunds Price Checker
Edmunds Lease Calculator
Did you get a good deal? Be sure to come back and let us know! Post a pic of your new purchase or lease!


MODERATOR

2015 Subaru Outback 3.6R / 2024 Kia Sportage Hybrid SX Prestige"
31,June 2018,stickguy,"Well, probably could get that to lease at $500/month sign and drive (I assume the subscription plan has no up front fees like you find on a lease?). So $150 for convenience of being able to get out in a shorter time frame, ability to switch cars, and the insurance? Depending on who you are and where you live, I suppose that could push $150?

So on the high side, but probably not too far from actual cost to lease. And if you don’t want it 3 years might make sense.

Just seems like a long term rental to me. Some people might need that arrangement. If it moves a few extra cars, good for Volvo. If not, they scrap it. Not that expensive of a plan really for them to take a flyer on it.
2020 Acura RDX tech SH-AWD, 2023 Maverick hybrid Lariat luxury package."
32,July 2018,carolsutton_86,"So, here comes in the car subscription. I think I will consider checking and know all the facts first before I will try this. Thank you for posting such useful information."
33,July 2018,antoninb,"Definitely not interested, for the same reason that I steer clear of leases. While the convenience may be appealing on the surface, I would not want to be in a forced relationship with a dealer or insurer where they will always clearly have the upper hand. I learned that the hard way with leasing."
34,July 2018,Mr_Shiftright,"It seems though that these subscription plans, at least in theory, are attempting to loosen the restrictions one normally has with leases."
35,October 2018,GamesBx2,"Mr_Shiftright said:
Almost $8K per year. I suppose there are lease payments that commonly equal that.
Yes, I think 8k usd!
I'm a programmer at GamesBx.com"
36,December 2018,bryanfox177,"Actually depends on what kind of person you are. If you're the type of person that loses interest in their things in a short time then maybe leasing might be for you, but if you're the type that holds on to their possessions for a long time then why not buy it? But on a financial standpoint or perspective you might save more when leasing a car."
37,December 2018,jdm11,"Chicago area dealers, and/or probably their customers are on crack. Can someone please explain to me how ""general joe public BMW driver"" affords the car. I honestly dont believe the payments people pay to drive a mediocre car. Are you honestly paying those numbers? Idiots!"
38,February 2019,jasonkimberson,i think the idea of car subscriptions is actually very interesting. I like the idea of being able to change cars monthly if I wanted
39,February 2019,qbrozen,"Pretty sure they won't let you change that often without fees. They can't afford to be taking on ""used"" cars with thousands in depreciation in exchange for a few hundred bucks.
'11 GMC Sierra 1500; '98 Alfa 156 2.0TS; '08 Maser QP; '67 Coronet R/T; '13 Fiat 500c; '20 S90 T6; '22 MB Sprinter 2500 4x4 diesel; '97 Suzuki R Wagon; '96 Opel Astra; '11 Mini Cooper S"
40,February 2019,stickguy,"It really ends up being the same as their car rental pool.
2020 Acura RDX tech SH-AWD, 2023 Maverick hybrid Lariat luxury package."
41,February 2019,qbrozen,"But are they giving the next subscriber in line a used vehicle? I don't believe so.
'11 GMC Sierra 1500; '98 Alfa 156 2.0TS; '08 Maser QP; '67 Coronet R/T; '13 Fiat 500c; '20 S90 T6; '22 MB Sprinter 2500 4x4 diesel; '97 Suzuki R Wagon; '96 Opel Astra; '11 Mini Cooper S"
42,February 2019,stickguy,"Good point I thought of after. Maybe. Otherwise generating a lot of new service loaners.
2020 Acura RDX tech SH-AWD, 2023 Maverick hybrid Lariat luxury package."
43,April 2019,PlasticBottle,"Subscription isn't not a new idea. It was already implemented in the past in Israel. it creates a huge advantage for the dealerships, as they can resell the car as certified by default - all car support is granted during the lease period.

The concept is great. You get a lease and a management company(dealership) that supports your lease (in Israel they also pay for the gas) for a ~$50-$400(depends on the car) extra in a month and save the headache of insurance, gas billing(you don't pay at the gas station in Israel), maintenance, road support and etc.'

But the price right now in hear is way too high for cover the car management headache.

Right now, I'm going to stick with leasing."
44,April 2019,Mr_Shiftright,"Yes, subscription does seem more like buying a luxury handbag than getting best bang for the buck with leasing or purchase."
45,May 2019,ksoman,"My lease payments are less than my insurance payments. Sux to be a parent with a desire for nice cars.

I went from a buyer to a lessee. Largely because I found I was keeping cars for less than 5 years, and lately because technology creep is overwhelming life of cars themselves. Also, I use Lyft extensively as my work keeps me flying close to 200K a year. I often wonder if the extra car at home is worth the expense. So, in the future, I do see fewer cars in my garage and more reliance on somebody else's vehicle, whatever form of ""service"" it shows up as."
46,May 2019,MorePowahhh2Me,wish there was a subscription service where you get a vehicle for 1-3months at a time
47,September 2019,TheMarkusAllen,"Subscriptions are roughly double the total cost of traditional leasing.

As far as leasing vs. financing, leasing wins almost every time (when we run the numbers through a spreadsheet)... I made a video about this here:

https://www.youtube.com/watch?v=gJZJlYLuV_k"
48,September 2019,Howard_wep,"I guess oems are just trying to broaden their portfolio and especially want to target the millennials with these subscription models...
at the end of the day they just want to sell convenience.. some do so with entirely new cars and some also with used ones.. for me personally its not something I would ever do tho"
49,December 2019,Glockenspiel,"I never liked the idea of subscription and lease.
.."
